216C	ROMAN NUMERAL FIFTY
216D	ROMAN NUMERAL ONE HUNDRED
216E	ROMAN NUMERAL FIVE HUNDRED
216F	ROMAN NUMERAL ONE THOUSAND
2170	SMALL ROMAN NUMERAL ONE
2171	SMALL ROMAN NUMERAL TWO
2172	SMALL ROMAN NUMERAL THREE
2173	SMALL ROMAN NUMERAL FOUR
2174	SMALL ROMAN NUMERAL FIVE
2175	SMALL ROMAN NUMERAL SIX
2176	SMALL ROMAN NUMERAL SEVEN
2177	SMALL ROMAN NUMERAL EIGHT
2178	SMALL ROMAN NUMERAL NINE
2179	SMALL ROMAN NUMERAL TEN
217A	SMALL ROMAN NUMERAL ELEVEN
217B	SMALL ROMAN NUMERAL TWELVE
217C	SMALL ROMAN NUMERAL FIFTY
217D	SMALL ROMAN NUMERAL ONE HUNDRED
217E	SMALL ROMAN NUMERAL FIVE HUNDRED
217F	SMALL ROMAN NUMERAL ONE THOUSAND
2180	ROMAN NUMERAL ONE THOUSAND C D
2181	ROMAN NUMERAL FIVE THOUSAND
2182	ROMAN NUMERAL TEN THOUSAND
2183	ROMAN NUMERAL REVERSED ONE HUNDRED
2185	ROMAN NUMERAL SIX LATE FORM
2186	ROMAN NUMERAL FIFTY EARLY FORM
2187	ROMAN NUMERAL FIFTY THOUSAND
2188	ROMAN NUMERAL ONE HUNDRED THOUSAND
218A	TURNED DIGIT TWO
218B	TURNED DIGIT THREE
2449	OCR CUSTOMER ACCOUNT NUMBER
2460	CIRCLED DIGIT ONE
2461	CIRCLED DIGIT TWO
2462	CIRCLED DIGIT THREE
2463	CIRCLED DIGIT FOUR
2464	CIRCLED DIGIT FIVE
2465	CIRCLED DIGIT SIX
2466	CIRCLED DIGIT SEVEN
2467	CIRCLED DIGIT EIGHT
2468	CIRCLED DIGIT NINE
2469	CIRCLED NUMBER TEN
246A	CIRCLED NUMBER ELEVEN
246B	CIRCLED NUMBER TWELVE
246C	CIRCLED NUMBER THIRTEEN
246D	CIRCLED NUMBER FOURTEEN
246E	CIRCLED NUMBER FIFTEEN
246F	CIRCLED NUMBER SIXTEEN
2470	CIRCLED NUMBER SEVENTEEN
2471	CIRCLED NUMBER EIGHTEEN
2472	CIRCLED NUMBER NINETEEN
2473	CIRCLED NUMBER TWENTY
2474	PARENTHESIZED DIGIT ONE
2475	PARENTHESIZED DIGIT TWO
2476	PARENTHESIZED DIGIT THREE
2477	PARENTHESIZED DIGIT FOUR
2478	PARENTHESIZED DIGIT FIVE
2479	PARENTHESIZED DIGIT SIX
247A	PARENTHESIZED DIGIT SEVEN
247B	PARENTHESIZED DIGIT EIGHT
247C	PARENTHESIZED DIGIT NINE
247D	PARENTHESIZED NUMBER TEN
247E	PARENTHESIZED NUMBER ELEVEN
247F	PARENTHESIZED NUMBER TWELVE
2480	PARENTHESIZED NUMBER THIRTEEN
2481	PARENTHESIZED NUMBER FOURTEEN
2482	PARENTHESIZED NUMBER FIFTEEN
2483	PARENTHESIZED NUMBER SIXTEEN
2484	PARENTHESIZED NUMBER SEVENTEEN
2485	PARENTHESIZED NUMBER EIGHTEEN
2486	PARENTHESIZED NUMBER NINETEEN
2487	PARENTHESIZED NUMBER TWENTY
2488	DIGIT ONE FULL STOP
2489	DIGIT TWO FULL STOP
248A	DIGIT THREE FULL STOP
248B	DIGIT FOUR FULL STOP
248C	DIGIT FIVE FULL STOP
248D	DIGIT SIX FULL STOP
248E	DIGIT SEVEN FULL STOP
248F	DIGIT EIGHT FULL STOP
2490	DIGIT NINE FULL STOP
2491	NUMBER TEN FULL STOP
2492	NUMBER ELEVEN FULL STOP
2493	NUMBER TWELVE FULL STOP
2494	NUMBER THIRTEEN FULL STOP
2495	NUMBER FOURTEEN FULL STOP
2496	NUMBER FIFTEEN FULL STOP
2497	NUMBER SIXTEEN FULL STOP
2498	NUMBER SEVENTEEN FULL STOP
2499	NUMBER EIGHTEEN FULL STOP
249A	NUMBER NINETEEN FULL STOP
249B	NUMBER TWENTY FULL STOP
24EA	CIRCLED DIGIT ZERO
24EB	NEGATIVE CIRCLED NUMBER ELEVEN
24EC	NEGATIVE CIRCLED NUMBER TWELVE
24ED	NEGATIVE CIRCLED NUMBER THIRTEEN
24EE	NEGATIVE CIRCLED NUMBER FOURTEEN
24EF	NEGATIVE CIRCLED NUMBER FIFTEEN
24F0	NEGATIVE CIRCLED NUMBER SIXTEEN
24F1	NEGATIVE CIRCLED NUMBER SEVENTEEN
24F2	NEGATIVE CIRCLED NUMBER EIGHTEEN
24F3	NEGATIVE CIRCLED NUMBER NINETEEN
24F4	NEGATIVE CIRCLED NUMBER TWENTY
24F5	DOUBLE CIRCLED DIGIT ONE
24F6	DOUBLE CIRCLED DIGIT TWO
24F7	DOUBLE CIRCLED DIGIT THREE
24F8	DOUBLE CIRCLED DIGIT FOUR
24F9	DOUBLE CIRCLED DIGIT FIVE
24FA	DOUBLE CIRCLED DIGIT SIX
24FB	DOUBLE CIRCLED DIGIT SEVEN
